# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sat May 23 04:18:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.17600 0.0900000036 1.0816895926    0.090 -2.185  3.4001  4.129    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.232 17.696 16.151 14.641 12.765 10.653 8.172 7.589 7.208
0.0152 0.01508 7.17600 0.0966729894 1.1426980035    0.097 -2.140  3.4048  4.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.54e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.121 17.594 16.044 14.533 12.655 10.543 8.062 7.478 7.097
0.0152 0.01508 7.17600 0.1000000015 1.1711064122    0.100 -2.119  3.4071  4.137    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.066 17.542 15.990 14.479 12.601 10.488 8.007 7.423 7.043
0.0152 0.01508 7.17600 0.1191895753 1.3139506993    0.119 -2.007  3.4188  4.148    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.787 17.204 15.656 14.143 12.282 10.183 7.731 7.147 6.769
0.0152 0.01508 7.17600 0.1200000122 1.3193155232    0.120 -2.003  3.4192  4.148    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.776 17.184 15.638 14.125 12.266 10.169 7.721 7.136 6.758
0.0152 0.01508 7.17600 0.1400000006 1.4384526719    0.140 -1.903  3.4298  4.158    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.527 16.536 15.061 13.554 11.794 9.776 7.491 6.904 6.536
0.0152 0.01508 7.17600 0.1502141356 1.4910706829    0.150 -1.857  3.4351  4.164    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.78e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.412 16.235 14.790 13.295 11.580 9.597 7.386 6.797 6.435
0.0152 0.01508 7.17600 0.1637450457 1.5540202748    0.164 -1.801  3.4415  4.171    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.272 15.873 14.465 12.984 11.323 9.382 7.257 6.666 6.312
0.0152 0.01508 7.17600 0.1741119623 1.5978429997    0.174 -1.762  3.4459  4.176    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.174 15.629 14.243 12.772 11.146 9.235 7.167 6.575 6.227
0.0152 0.01508 7.17600 0.1850349009 1.6404896368    0.185 -1.721  3.4502  4.179    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.073 15.380 14.018 12.556 10.966 9.084 7.073 6.479 6.137
0.0152 0.01508 7.17600 0.1997146010 1.6929099591    0.200 -1.671  3.4559  4.185    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.9e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.948 15.083 13.744 12.286 10.741 8.903 6.960 6.363 6.028
0.0152 0.01508 7.17600 0.2133786678 1.7373887588    0.213 -1.629  3.4605  4.190    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.19e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.843 14.839 13.518 12.064 10.555 8.752 6.864 6.266 5.937
0.0152 0.01508 7.17600 0.2322091013 1.7929577648    0.232 -1.575  3.4665  4.196    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.61e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.706 14.542 13.240 11.796 10.328 8.565 6.739 6.136 5.816
