# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Mon May 18 07:03:00 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.68000 0.0900000036 1.0816895926    0.090 -2.526  3.4040  4.487    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.21e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.086 19.115 17.240 15.635 13.680 11.518 9.014 8.423 8.064
0.0152 0.01508 7.68000 0.0920620635 1.1011540575    0.092 -2.511  3.4059  4.489    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.37e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.047 19.080 17.203 15.598 13.642 11.480 8.976 8.385 8.026
0.0152 0.01508 7.68000 0.1000000015 1.1711064122    0.100 -2.451  3.4130  4.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.06e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.899 18.939 17.058 15.451 13.494 11.331 8.827 8.236 7.878
0.0152 0.01508 7.68000 0.1053174064 1.2140491925    0.105 -2.416  3.4171  4.497    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.48e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.811 18.807 16.935 15.329 13.383 11.228 8.742 8.150 7.792
0.0152 0.01508 7.68000 0.1183403581 1.3082780437    0.118 -2.334  3.4269  4.504    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.59e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.604 18.216 16.435 14.842 12.986 10.900 8.553 7.959 7.607
0.0152 0.01508 7.68000 0.1200000122 1.3193155232    0.120 -2.324  3.4281  4.505    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.74e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.579 18.134 16.366 14.775 12.932 10.857 8.531 7.936 7.585
0.0152 0.01508 7.68000 0.1357487291 1.4150588361    0.136 -2.239  3.4379  4.513    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.368 17.522 15.841 14.274 12.524 10.521 8.339 7.742 7.399
0.0152 0.01508 7.68000 0.1400000006 1.4384526719    0.140 -2.218  3.4403  4.515    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.314 17.371 15.712 14.150 12.423 10.438 8.290 7.692 7.352
0.0152 0.01508 7.68000 0.1599999964 1.5372931554    0.160 -2.129  3.4503  4.524    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.092 16.771 15.189 13.650 12.012 10.100 8.088 7.487 7.156
0.0152 0.01508 7.68000 0.2000000030 1.6938790862    0.200 -1.980  3.4663  4.537    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.721 15.850 14.370 12.853 11.351 9.570 7.753 7.146 6.832
